ticker,name,exchange
ABSI,Absci Corporation - Common Stock,NASDAQ
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ
ABVE,Above Food Ingredients Inc. - Common Stock,NASDAQ
ABVEW,Above Food Ingredients Inc. - Warrant,NASDAQ
ABVX,Abivax SA - American Depositary Shares,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ
ACCL,Acco Group Holdings Limited - Ordinary Shares,NASDAQ
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ
ACEP,ARS Core Equity Portfolio ETF,NASDAQ
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",NASDAQ
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",NASDAQ
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ
ACIU,AC Immune SA - Common Stock,NASDAQ
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ
ACLX,"Arcellx, Inc. - Common Stock",NASDAQ
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ
ACNB,ACNB Corporation - Common Stock,NASDAQ
ACNT,Ascent Industries Co. - Common Stock,NASDAQ
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ
ACON,"Aclarion, Inc. - Common Stock",NASDAQ
ACONW,"Aclarion, Inc. - Warrant",NASDAQ
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ
ACTG,Acacia Research Corporation - Common Stock,NASDAQ
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ
ACWI,iShares MSCI ACWI ETF,NASDAQ
ACWX,iShares MSCI ACWI ex U.S. ETF,NASDAQ
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ
ADBE,Adobe Inc. - Common Stock,NASDAQ
ADBG,Leverage Shares 2X Long ADBE Daily ETF,NASDAQ
ADEA,Adeia Inc.  - Common Stock,NASDAQ
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ
ADSEW,ADS-TEC ENERGY PLC - Warrant,NASDAQ
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ
ADTX,"Aditxt, Inc. - Common Stock",NASDAQ
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ
ADVM,"Adverum Biotechnologies, Inc. - Common Stock",NASDAQ
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ
AEC,Anfield Energy Inc. - Common Shares,NASDAQ
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ
AEHR,Aehr Test Systems - Common Stock,NASDAQ
AEI,Alset Inc. - Common Stock,NASDAQ
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ
AENTW,Alliance Entertainment Holding Corporation - Warrants,NASDAQ
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ
AERTW,"Aeries Technology, Inc. - Warrant",NASDAQ
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ
AEVAW,"Aeva Technologies, Inc. - Redeemable Warrants",NASDAQ
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ
AFJKR,"Aimei Health Technology Co., Ltd - Right",NASDAQ
AFJKU,"Aimei Health Technology Co., Ltd - Unit",NASDAQ
AFOS,ARS Focused Opportunity Strategy ETF,NASDAQ
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ
AFRIW,Forafric Global PLC - Warrants,NASDAQ
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ
AFSC,abrdn Focused U.S. Small Cap Active ETF,NASDAQ
AFYA,Afya Limited - Class A Common Shares,NASDAQ
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,NASDAQ
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ
AGEM,abrdn Emerging Markets Dividend Active ETF,NASDAQ
AGEN,Agenus Inc. - Common Stock,NASDAQ
AGGA,EA Astoria Dynamic Core US Fixed Income ETF,NASDAQ
AGH,Aureus Greenway Holdings Inc. - Common Stock,NASDAQ
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ
AGIX,KraneShares Artificial Intelligence & Technology ETF,NASDAQ
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ
AGMI,Themes Silver Miners ETF,NASDAQ
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",NASDAQ
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",NASDAQ
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",NASDAQ
AGNG,Global X Aging Population ETF,NASDAQ
AGRZ,Agroz Inc. - Ordinary Shares,NASDAQ
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,NASDAQ
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ
AHG,Akso Health Group - American Depositary Shares,NASDAQ
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ
AIA,iShares Asia 50 ETF,NASDAQ
AIFD,TCW Artificial Intelligence ETF,NASDAQ
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ
AIFU,AIFU Inc. - Class A Ordinary Share,NASDAQ
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ
AIIOW,Robo.ai Inc. - Warrant,NASDAQ
AIMD,"Ainos, Inc. - Common Stock",NASDAQ
AIMDW,"Ainos, Inc. - warrants",NASDAQ
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ
AIP,"Arteris, Inc.  - Common Stock",NASDAQ
AIPI,REX AI Equity Premium Income ETF,NASDAQ
AIPO,Defiance AI & Power Infrastructure ETF,NASDAQ
AIQ,Global X Artificial Intelligence & Technology ETF,NASDAQ
AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ
AIRG,"Airgain, Inc. - Common Stock",NASDAQ
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ
AIRJW,AirJoule Technologies Corporation - Warrant,NASDAQ
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ
AIRR,First Trust RBA American Industrial Renaissance ETF,NASDAQ
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ
AIRT,"Air T, Inc. - Common Stock",NASDAQ
AIRTP,"Air T, Inc. - Trust Preferred Securities",NASDAQ
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ
AISPW,"Airship AI Holdings, Inc - Warrants",NASDAQ
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ
AIXI,XIAO-I Corporation - American Depositary Shares,NASDAQ
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ
AKAN,Akanda Corp. - Common Shares,NASDAQ
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ
AKRO,"Akero Therapeutics, Inc. - Common Stock",NASDAQ
AKTX,Akari Therapeutics Plc - American Depositary Shares,NASDAQ
ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ
ALAR,Alarum Technologies Ltd. - American Depositary Shares,NASDAQ
ALBT,Avalon GloboCare Corp. - Common Stock,NASDAQ
ALCO,"Alico, Inc. - Common Stock",NASDAQ
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,NASDAQ
ALCYU,Alchemy Investments Acquisition Corp 1 - Units,NASDAQ
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,NASDAQ
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,NASDAQ
ALDFU,Aldel Financial II Inc. - Units,NASDAQ
ALDFW,Aldel Financial II Inc. - Warrants,NASDAQ
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAQ
ALEC,"Alector, Inc. - Common Stock",NASDAQ
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,NASDAQ
ALFUU,Centurion Acquisition Corp. - Unit,NASDAQ
ALFUW,Centurion Acquisition Corp. - Warrant,NASDAQ
ALGM,"Allegro MicroSystems, Inc. - Common Stock",NASDAQ
ALGN,"Align Technology, Inc. - Common Stock",NASDAQ
ALGS,"Aligos Therapeutics, Inc. - Common stock",NASDAQ
ALGT,Allegiant Travel Company - Common Stock,NASDAQ
ALHC,"Alignment Healthcare, Inc. - Common Stock",NASDAQ
ALIL,Argent Focused Small Cap ETF,NASDAQ
ALIS,Calisa Acquisition Corp - Ordinary shares,NASDAQ
ALISR,Calisa Acquisition Corp - Right,NASDAQ
ALISU,Calisa Acquisition Corp - Units,NASDAQ
ALKS,Alkermes plc - Ordinary Shares,NASDAQ
ALKT,"Alkami Technology, Inc. - Common Stock",NASDAQ
ALLO,"Allogene Therapeutics, Inc. - Common Stock",NASDAQ
ALLR,"Allarity Therapeutics, Inc. - Common stock",NASDAQ
ALLT,Allot Ltd. - Ordinary Shares,NASDAQ
ALLW,SPDR Bridgewater All Weather ETF,NASDAQ
ALM,Almonty Industries Inc. - Common Shares,NASDAQ
ALMS,Alumis Inc. - Common Stock,NASDAQ
ALMU,"Aeluma, Inc. - Common Stock",NASDAQ
ALNT,Allient Inc. - Common Stock,NASDAQ
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",NASDAQ
ALOT,"AstroNova, Inc. - Common Stock",NASDAQ
ALPS,ALPS Group Inc - Ordinary Share,NASDAQ
ALRM,"Alarm.com Holdings, Inc. - Common Stock",NASDAQ
ALRS,Alerus Financial Corporation - Common Stock,NASDAQ
ALT,"Altimmune, Inc. - Common Stock",NASDAQ
ALTI,"AlTi Global, Inc. - Class A Common Stock",NASDAQ
ALTO,"Alto Ingredients, Inc. - Common Stock",NASDAQ
ALTS,ALT5 Sigma Corporation - Common Stock,NASDAQ
ALTY,Global X Alternative Income ETF,NASDAQ
ALVO,Alvotech - Ordinary Shares,NASDAQ
ALVOW,Alvotech - Warrant,NASDAQ
ALXO,ALX Oncology Holdings Inc. - Common Stock,NASDAQ
ALZN,"Alzamend Neuro, Inc. - Common Stock",NASDAQ
AMAL,Amalgamated Financial Corp. - Common Stock,NASDAQ
AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ
AMBA,"Ambarella, Inc. - Ordinary Shares",NASDAQ
AMBR,Amber International Holding Limited - American Depositary Shares,NASDAQ
AMCX,AMC Networks Inc. - Class A Common Stock,NASDAQ
AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ
AMDD,Direxion Daily AMD Bear 1X Shares,NASDAQ
AMDG,Leverage Shares 2X Long AMD Daily ETF,NASDAQ
AMDL,GraniteShares 2x Long AMD Daily ETF,NASDAQ
AMDU,Defiance Leveraged Long + Income AMD ETF,NASDAQ
AMGN,Amgen Inc. - Common Stock,NASDAQ
AMID,Argent Mid Cap ETF,NASDAQ
AMIX,"Autonomix Medical, Inc. - Common Stock",NASDAQ
AMKR,"Amkor Technology, Inc. - Common Stock",NASDAQ
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",NASDAQ
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",NASDAQ
AMODW,"Alpha Modus Holdings, Inc. - Warrant",NASDAQ
AMPG,"Amplitech Group, Inc. - Common Stock",NASDAQ
AMPGW,"Amplitech Group, Inc. - Warrants",NASDAQ
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",NASDAQ
AMPL,"Amplitude, Inc. - Class A Common Stock",NASDAQ
AMRK,"A-Mark Precious Metals, Inc. - Common Stock",NASDAQ
AMRN,Amarin Corporation plc - American Depositary Shares,NASDAQ
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",NASDAQ
AMSC,American Superconductor Corporation - Common Stock,NASDAQ
AMSF,"AMERISAFE, Inc. - Common Stock",NASDAQ
AMST,Amesite Inc. - Common Stock,NASDAQ
AMTX,"Aemetis, Inc - Common Stock",NASDAQ
AMUN,abrdn Ultra Short Municipal Income Active ETF,NASDAQ
AMUU,Direxion Daily AMD Bull 2X Shares,NASDAQ
AMWD,American Woodmark Corporation - Common Stock,NASDAQ
AMYY,GraniteShares YieldBOOST AMD ETF,NASDAQ
AMZD,Direxion Daily AMZN Bear 1X Shares,NASDAQ
AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ
AMZU,Direxion Daily AMZN Bull 2X Shares,NASDAQ
AMZZ,GraniteShares 2x Long AMZN Daily ETF,NASDAQ
ANAB,"AnaptysBio, Inc. - Common Stock",NASDAQ
ANDE,"The Andersons, Inc. - Common Stock",NASDAQ
ANEB,"Anebulo Pharmaceuticals, Inc. - Common Stock",NASDAQ
ANEL,Defiance Daily Target 2x Long ANET ETF,NASDAQ
ANGH,Anghami Inc. - Ordinary Shares,NASDAQ
ANGHW,Anghami Inc. - Warrants,NASDAQ
ANGI,Angi Inc. - Class A Common Stock,NASDAQ
ANGL,VanEck Fallen Angel High Yield Bond ETF,NASDAQ
ANGO,"AngioDynamics, Inc. - Common Stock",NASDAQ
ANIK,Anika Therapeutics Inc. - Common Stock,NASDAQ
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",NASDAQ
ANIX,"Anixa Biosciences, Inc. - Common Stock",NASDAQ
ANL,Adlai Nortye Ltd. - American Depositary Shares,NASDAQ
ANNA,"AleAnna, Inc. - Class A Common Stock",NASDAQ
ANNAW,"AleAnna, Inc. - Warrant",NASDAQ
ANNX,"Annexon, Inc. - common stock",NASDAQ
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,NASDAQ
ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,NASDAQ
ANSCU,Agriculture & Natural Solutions Acquisition Corporation - Unit,NASDAQ
ANSCW,Agriculture & Natural Solutions Acquisition Corporation - Warrant,NASDAQ
ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,NASDAQ
ANTX,"AN2 Therapeutics, Inc. - Common Stock",NASDAQ
ANY,Sphere 3D Corp. - Common Shares,NASDAQ
AOHY,Angel Oak High Yield Opportunities ETF,NASDAQ
AOSL,Alpha and Omega Semiconductor Limited - Common Shares,NASDAQ
AOTG,AOT Growth and Innovation ETF,NASDAQ
AOUT,"American Outdoor Brands, Inc. - Common Stock",NASDAQ
APA,APA Corporation - Common Stock,NASDAQ
APAC,StoneBridge Acquisition II Corporation - Class A Ordinary Shares,NASDAQ
APACR,StoneBridge Acquisition II Corporation - Rights,NASDAQ
APACU,StoneBridge Acquisition II Corporation - Units,NASDAQ
APAD,A Paradise Acquisition Corp. - Class A Ordinary Shares,NASDAQ
APADR,A Paradise Acquisition Corp. - Rights,NASDAQ
APADU,A Paradise Acquisition Corp. - Unit,NASDAQ
APED,STKd 100% MSTR & 100% COIN ETF,NASDAQ
APEI,"American Public Education, Inc. - Common Stock",NASDAQ
APGE,"Apogee Therapeutics, Inc. - Common Stock",NASDAQ
API,"Agora, Inc. - ADS",NASDAQ
APLD,Applied Digital Corporation - Common Stock,NASDAQ
APLM,Apollomics Inc. - Class A Ordinary Shares,NASDAQ
APLMW,Apollomics Inc. - Warrant,NASDAQ
APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",NASDAQ
APLT,"Applied Therapeutics, Inc. - Common Stock",NASDAQ
APM,Aptorum Group Limited - Class A Ordinary Shares,NASDAQ
APOG,"Apogee Enterprises, Inc. - Common Stock",NASDAQ
APP,Applovin Corporation - Class A Common Stock,NASDAQ
APPF,"AppFolio, Inc. - Class A Common Stock",NASDAQ
APPN,Appian Corporation - Class A Common Stock,NASDAQ
APPS,"Digital Turbine, Inc. - Common Stock",NASDAQ
APPX,Tradr 2X Long APP Daily ETF,NASDAQ
APRE,"Aprea Therapeutics, Inc. - Common Stock",NASDAQ
APVO,Aptevo Therapeutics Inc. - Common Stock,NASDAQ
APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",NASDAQ
APXT,Apex Treasury Corporation - Class A Ordinary Share,NASDAQ
APXTU,Apex Treasury Corporation - Units,NASDAQ
APXTW,Apex Treasury Corporation - Warrants,NASDAQ
APYX,Apyx Medical Corporation - Common Stock,NASDAQ
AQB,"AquaBounty Technologies, Inc. - Common Stock",NASDAQ
AQMS,"Aqua Metals, Inc. - Common Stock",NASDAQ
AQST,"Aquestive Therapeutics, Inc. - Common Stock",NASDAQ
AQWA,Global X Clean Water ETF,NASDAQ
ARAI,Arrive AI Inc. - Common Stock,NASDAQ
ARAY,Accuray Incorporated - Common Stock,NASDAQ
ARBB,ARB IOT Group Limited - Ordinary Shares,NASDAQ
ARBE,Arbe Robotics Ltd. - Ordinary Shares,NASDAQ
ARBEW,Arbe Robotics Ltd. - Warrant,NASDAQ
ARBK,Argo Blockchain plc - American Depositary Shares,NASDAQ
ARBKL,Argo Blockchain plc - 8.75% Senior Notes due 2026,NASDAQ
ARCB,ArcBest Corporation - Common Stock,NASDAQ
ARCC,Ares Capital Corporation - Closed End Fund,NASDAQ
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,NASDAQ
ARDX,"Ardelyx, Inc. - Common Stock",NASDAQ
AREB,"American Rebel Holdings, Inc. - Common Stock",NASDAQ
AREBW,"American Rebel Holdings, Inc. - warrants",NASDAQ
AREC,American Resources Corporation - Class A Common Stock,NASDAQ
ARGX,argenx SE - American Depositary Shares,NASDAQ
ARHS,"Arhaus, Inc. - Class A Common Stock",NASDAQ
ARKO,ARKO Corp. - Common Stock,NASDAQ
ARKOW,ARKO Corp. - Warrant,NASDAQ
ARKR,Ark Restaurants Corp. - Common Stock,NASDAQ
ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",NASDAQ
ARM,Arm Holdings plc - American Depositary Shares,NASDAQ
ARMG,Leverage Shares 2X Long ARM Daily ETF,NASDAQ
AROW,Arrow Financial Corporation - Common Stock,NASDAQ
ARQ,"Arq, Inc. - Common Stock",NASDAQ
ARQQ,Arqit Quantum Inc. - Ordinary Shares,NASDAQ
ARQQW,Arqit Quantum Inc. - Warrants,NASDAQ
ARQT,"Arcutis Biotherapeutics, Inc. - Common stock",NASDAQ
ARRY,"Array Technologies, Inc. - Common Stock",NASDAQ
ARTL,"Artelo Biosciences, Inc. - Common Stock",NASDAQ
ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,NASDAQ
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",NASDAQ
ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",NASDAQ
ARVN,"Arvinas, Inc. - Common Stock",NASDAQ
ARVR,First Trust Indxx Metaverse ETF,NASDAQ
ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",NASDAQ
ASBP,"Aspire Biopharma Holdings, Inc.  - Common Stock",NASDAQ
ASBPW,"Aspire Biopharma Holdings, Inc.  - Warrant",NASDAQ
ASCI,abrdn International Small Cap Active ETF,NASDAQ
ASLE,AerSale Corporation - Common Stock,NASDAQ
ASMB,"Assembly Biosciences, Inc. - Common Stock",NASDAQ
ASMG,Leverage Shares 2X Long ASML Daily ETF,NASDAQ
ASML,ASML Holding N.V. - New York Registry Shares,NASDAQ
ASND,Ascendis Pharma A/S - American Depositary Shares,NASDAQ
ASNS,"Actelis Networks, Inc. - Common Stock",NASDAQ
ASO,"Academy Sports and Outdoors, Inc. - Common Stock",NASDAQ
ASPC,A SPAC III Acquisition Corp. - Class A Ordinary Shares,NASDAQ
ASPCR,A SPAC III Acquisition Corp. - Right,NASDAQ
